,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
528,75198,Tatooine Battle Pack,1 Jan 2018 - 31 Dec 2018 (11m 29d),2018,14.99,29.315,22.066,✭✭✭✭✩ 3.8 648 ratings 6 reviews Brickset review,95.56,47.2
529,75199,General Grievous' Combat Speeder,1 Jan 2018 - 31 Dec 2019 (1y 11m 28d),2018,29.99,75.24000000000001,38.709,✭✭✭✩✩ 3.2 486 ratings 7 reviews Brickset review,150.88,29.07
530,75200,Ahch-To Island Training,1 Jan 2018 - 31 Dec 2019 (1y 11m 28d),2018,29.99,36.619,23.507,✭✭✭✭✩ 3.9 766 ratings 7 reviews Brickset review,22.1,-21.62
531,75201,First Order AT-ST,1 Jan 2018 - 31 Dec 2018 (11m 29d),2018,39.99,76.417,44.693000000000005,✭✭✭✩✩ 2.9 250 ratings 3 reviews Brickset review,91.09,11.76
532,75202,Defense of Crait,1 Jan 2018 - 31 Dec 2018 (11m 29d),2018,84.99,85.26100000000001,64.46000000000001,✭✭✭✭✩ 3.8 273 ratings 4 reviews Brickset review,0.32,-24.16
533,75203,Hoth Medical Chamber,1 Aug 2018 - 31 Jul 2019 (11m 29d),2018,29.99,60.434000000000005,46.365,✭✭✭✭✩ 4.0 353 ratings 1 review Brickset review,101.51,54.6
534,75204,Sandspeeder,Año no disponible,2018,29.99,64.31700000000001,51.029,✭✭✭✭✩ 3.9 316 ratings 4 reviews Brickset review,114.46,70.15
535,75205,Mos Eisley Cantina,1 Jan 2018 - 31 Dec 2018 (11m 29d),2018,39.99,60.489000000000004,45.91400000000001,✭✭✭✭✩ 3.7 339 ratings 4 reviews Brickset review,51.26,14.81
536,75206,Jedi and Clone Troopers Battle Pack,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),2018,14.99,47.377,33.341,✭✭✭✭✩ 3.5 690 ratings 8 reviews Brickset review,216.06,122.42
537,75207,Imperial Patrol Battle Pack,20 Apr 2018 - 31 Dec 2018 (8m 11d),2018,14.99,28.138,24.464,✭✭✭✭✩ 4.0 671 ratings 7 reviews Brickset review,87.71,63.2
538,75208,Yoda's Hut,20 Apr 2018 - 31 Dec 2019 (1y 8m 11d),2018,29.99,48.19100000000001,29.447000000000003,✭✭✭✭✩ 4.0 882 ratings 4 reviews Brickset review,60.69,-1.81
539,75209,Han Solo's Landspeeder,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),2018,29.99,34.045,26.048000000000002,✭✭✭✭✩ 4.2 724 ratings 9 reviews Brickset review,13.52,-13.14
540,75210,Moloch's Landspeeder,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),2018,39.99,47.09100000000001,31.746000000000002,✭✭✭✭✩ 3.8 347 ratings 3 reviews Brickset review,17.76,-20.62
541,75211,Imperial TIE Fighter,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),2018,69.99,187.66,136.125,✭✭✭✭✭ 4.4 631 ratings 5 reviews Brickset review,168.12,94.49
542,75212,Kessel Run Millennium Falcon,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),2018,169.99,225.08200000000002,135.91600000000003,✭✭✭✭✩ 4.1 408 ratings 5 reviews,32.41,-20.04
543,75213,LEGO Star Wars Advent Calendar,1 Sep 2018 - 31 Dec 2018 (3m 29d),2018,39.99,37.411,26.884000000000004,✭✭✭✭✩ 3.4 368 ratings 1 review,-6.45,-32.77
544,75214,Anakin's Jedi Starfighter,1 Aug 2018 - 31 Jul 2020 (1y 11m 29d),2018,19.99,68.277,35.904,✭✭✭✭✩ 4.1 653 ratings 6 reviews Brickset review,241.56,79.61
545,75215,Cloud-Rider Swoop Bikes,1 Aug 2018 - 31 Jul 2019 (11m 29d),2018,29.99,44.627,30.712000000000003,✭✭✭✭✩ 4.1 481 ratings 6 reviews Brickset review,48.81,2.41
546,75216,Snoke's Throne Room,1 Aug 2018 - 31 Jul 2019 (11m 29d),2018,69.99,94.05000000000001,62.601,✭✭✭✭✩ 3.8 269 ratings 4 reviews Brickset review,34.38,-10.56
547,75217,Imperial Conveyex Transport,1 Aug 2018 - 31 Jul 2019 (11m 29d),2018,89.99,163.43800000000002,125.24600000000001,✭✭✭✭✩ 3.8 248 ratings Brickset review,81.62,39.18
548,75218,X-wing Starfighter,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,79.99,101.596,69.476,✭✭✭✭✭ 4.4 681 ratings 5 reviews Brickset review,27.01,-13.14
549,75219,Imperial AT-Hauler,1 Aug 2018 - 31 Jul 2019 (11m 29d),2018,99.99,126.63200000000002,96.65700000000001,✭✭✭✭✩ 3.9 254 ratings 1 review,26.64,-3.33
550,75220,Sandcrawler,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,139.99,183.18300000000002,120.17500000000001,✭✭✭✭✩ 4.0 259 ratings 2 reviews Brickset review,30.85,-14.15
551,75221,Imperial Landing Craft,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,89.99,153.978,115.43400000000001,✭✭✭✭✩ 4.1 204 ratings 2 reviews,71.11,28.27
552,75222,Betrayal at Cloud City,1 Oct 2018 - 31 Dec 2019 (1y 2m 29d),2018,349.99,856.7460000000001,771.3750000000001,✭✭✭✭✭ 4.3 299 ratings 3 reviews Brickset review,144.79,120.4
553,75223,Naboo Starfighter Microfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,9.99,18.029000000000003,12.100000000000001,✭✭✭✭✩ 3.8 281 ratings 2 reviews,80.47,21.12
554,75224,Sith Infiltrator Microfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,9.99,26.950000000000003,12.122,✭✭✭✭✩ 3.7 346 ratings 2 reviews,169.77,21.34
