Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
75209,75209:  Han Solo's Landspeeder,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),"$29.99, €29.99 | More",~€30.95,~€23.68,✭✭✭✭✩ 4.2 724 ratings 9 reviews Brickset review
75210,75210:  Moloch's Landspeeder,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),"$39.99, €49.99 | More",~€42.81,~€28.86,✭✭✭✭✩ 3.8 347 ratings 3 reviews Brickset review
75211,75211:  Imperial TIE Fighter,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),"$69.99, €69.99 | More",~€170.60,~€123.75,✭✭✭✭✭ 4.4 631 ratings 5 reviews Brickset review
75212,75212:  Kessel Run Millennium Falcon,20 Apr 2018 - 31 Jul 2019 (1y 3m 10d),"$169.99, €169.99 | More",~€204.62,~€123.56,✭✭✭✭✩ 4.1 408 ratings 5 reviews
75213,75213:  LEGO Star Wars Advent Calendar,1 Sep 2018 - 31 Dec 2018 (3m 29d),"$39.99, €29.99 | More",~€34.01,~€24.44,✭✭✭✭✩ 3.4 368 ratings 1 review
75214,75214:  Anakin's Jedi Starfighter,1 Aug 2018 - 31 Jul 2020 (1y 11m 29d),"$19.99, €29.99 | More",~€62.07,~€32.64,✭✭✭✭✩ 4.1 653 ratings 6 reviews Brickset review
75215,75215:  Cloud-Rider Swoop Bikes,1 Aug 2018 - 31 Jul 2019 (11m 29d),"$29.99, €29.99 | More",~€40.57,~€27.92,✭✭✭✭✩ 4.1 481 ratings 6 reviews Brickset review
75216,75216:  Snoke's Throne Room,1 Aug 2018 - 31 Jul 2019 (11m 29d),"$69.99, €69.99 | More",~€85.50,~€56.91,✭✭✭✭✩ 3.8 269 ratings 4 reviews Brickset review
75217,75217:  Imperial Conveyex Transport,1 Aug 2018 - 31 Jul 2019 (11m 29d),"$89.99, €89.99 | More",~€148.58,~€113.86,✭✭✭✭✩ 3.8 248 ratings Brickset review
75218,75218:  X-wing Starfighter,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$79.99, €99.99 | More",~€92.36,~€63.16,✭✭✭✭✭ 4.4 681 ratings 5 reviews Brickset review
75219,75219:  Imperial AT-Hauler,1 Aug 2018 - 31 Jul 2019 (11m 29d),"$99.99, €99.99 | More",~€115.12,~€87.87,✭✭✭✭✩ 3.9 254 ratings 1 review
75220,75220:  Sandcrawler,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$139.99, €129.99 | More",~€166.53,~€109.25,✭✭✭✭✩ 4.0 259 ratings 2 reviews Brickset review
75221,75221:  Imperial Landing Craft,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$89.99, €89.99 | More",~€139.98,~€104.94,✭✭✭✭✩ 4.1 204 ratings 2 reviews
75222,75222:  Betrayal at Cloud City,1 Oct 2018 - 31 Dec 2019 (1y 2m 29d),"$349.99, €341.17 | More",~€778.86,~€701.25,✭✭✭✭✭ 4.3 299 ratings 3 reviews Brickset review
75223,75223:  Naboo Starfighter Microfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$9.99, €9.99 | More",~€16.39,~€11.00,✭✭✭✭✩ 3.8 281 ratings 2 reviews
75224,75224:  Sith Infiltrator Microfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$9.99, €9.99 | More",~€24.50,~€11.02,✭✭✭✭✩ 3.7 346 ratings 2 reviews
