Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
76019,76019:  Starblaster Showdown,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),"$19.99, €24.99 | More",~€52.21,~€27.68,✭✭✭✭✩ 3.6 295 ratings 5 reviews
76020,76020:  Knowhere Escape Mission,1 Jun 2014 - 31 Dec 2015 (1y 6m 30d),"$39.99, €49.99 | More",~€46.38,~€35.43,✭✭✭✭✩ 3.6 266 ratings 3 reviews
76021,76021:  The Milano Spaceship Rescue,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),"$74.99, €79.99 | More",~€138.84,~€126.86,✭✭✭✭✭ 4.4 326 ratings 5 reviews
76022,76022:  X-Men vs. The Sentinel,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),"$49.99, €49.99 | More",~€99.63,~€90.38,✭✭✭✭✩ 4.1 262 ratings 4 reviews Brickset review
76029,76029:  Iron Man vs. Ultron,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),"$12.99, €14.99 | More",~€30.92,~€15.66,✭✭✭✭✩ 3.3 362 ratings 5 reviews Brickset review
76030,76030:  Avengers Hydra Showdown,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),"$19.99, €19.99 | More",~€34.15,~€15.00,✭✭✭✭✩ 3.5 313 ratings 7 reviews Brickset review
76031,76031:  The Hulk Buster Smash,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),"$29.99, €34.99 | More",~€72.37,~€35.65,✭✭✭✭✩ 4.1 561 ratings 9 reviews
76032,76032:  The Avengers Quinjet City Chase,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),"$79.99, €79.99 | More",~€100.34,~€69.31,✭✭✭✭✩ 4.0 286 ratings 4 reviews
76036,76036:  Carnage's SHIELD Sky Attack,1 Jun 2015 - 31 Dec 2016 (1y 7m),"$12.99, €14.99 | More",~€32.46,~€9.89,✭✭✭✭✩ 3.9 314 ratings 7 reviews Brickset review
76037,76037:  Rhino and Sandman Super Villain Team-up,1 Jun 2015 - 31 Dec 2016 (1y 7m),"$39.99, €49.99 | More",~€73.40,~€36.98,✭✭✭✭✩ 3.7 176 ratings 2 reviews Brickset review
76038,76038:  Attack on Avengers Tower,1 Mar 2015 - 31 Dec 2016 (1y 10m 1d),"$59.99, €69.99 | More",~€142.07,~€73.30,✭✭✭✭✩ 4.1 256 ratings 6 reviews
76039,76039:  Ant-Man Final Battle,1 Jun 2015 - 31 Dec 2015 (6m 30d),"$19.99, €24.99 | More",~€63.53,~€46.37,✭✭✭✭✩ 4.0 293 ratings 6 reviews
76041,76041:  The Hydra Fortress Smash,1 Mar 2015 - 31 Dec 2015 (10m),"$49.99, €59.99 | More",~€102.38,~€77.01,✭✭✭✭✩ 3.5 131 ratings 4 reviews Brickset review
