Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
4841,4841:  Hogwarts Express,1 Oct 2010 - 31 Dec 2011 (1y 2m 29d),$79.99 | More,~€158.50,~€76.17,✭✭✭✭✩ 4.1 123 ratings 7 reviews
4842,4842:  Hogwarts Castle,1 Oct 2010 - 31 Dec 2012 (2y 3m),$129.99 | More,~€184.56,~€109.18,✭✭✭✭✭ 4.5 285 ratings 19 reviews
4865,4865:  The Forbidden Forest,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),$11.99 | More,~€43.03,~€10.21,✭✭✭✭✩ 3.6 214 ratings 15 reviews
4866,4866:  The Knight Bus,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),$34.99 | More,~€65.63,~€25.24,✭✭✭✭✩ 3.8 190 ratings 10 reviews
4867,4867:  Hogwarts,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),$49.99 | More,~€74.22,~€37.85,✭✭✭✭✩ 4.1 165 ratings 11 reviews
5378,5378:  Hogwarts Castle,1 Jun 2007 - 31 Dec 2007 (6m 30d),$89.99 | More,~€434.58,~€257.11,✭✭✭✭✩ 4.2 45 ratings 10 reviews
10132,10132:  Motorised Hogwarts Express,6 Apr 2004 - 31 Dec 2005 (1y 8m 25d),$120.00,~€866.39,~€370.36,✭✭✭✭✭ 4.4 21 ratings 12 reviews
10217,10217:  Diagon Alley,1 Jan 2011 - 31 Dec 2012 (1y 11m 29d),$149.99 | More,~€317.29,~€224.46,✭✭✭✭✭ 4.3 185 ratings 9 reviews
11923,11923:  Harry Potter: Build Your Own Adventure parts,Año no disponible,PVP no disponible,~€16.23,Precio usado no disponible,✭✭✭✭✩ 3.7 38 ratings
30110,30110:  Trolley,1 Apr 2011 - 31 Dec 2011 (9m),$4.99,~€9.64,~€5.37,✭✭✭✭✩ 3.5 76 ratings 2 reviews
30111,30111:  The Lab,Año no disponible,$3.99,~€6.63,~€3.47,✭✭✭✭✩ 3.3 103 ratings 8 reviews
30392,30392:  Hermione's Study Desk,1 Aug 2021 - 31 Dec 2022 (1y 4m 30d),PVP no disponible,~€4.59,~€2.92,✭✭✭✭✩ 3.4 170 ratings
30407,30407:  Harry's Journey to Hogwarts,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$3.99, €3.49 | More",~€6.05,~€1.76,✭✭✭✭✩ 3.9 384 ratings 6 reviews Brickset review
30420,30420:  Harry Potter and Hedwig: Owl Delivery,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),PVP no disponible,~€4.60,~€2.25,✭✭✭✭✩ 3.5 207 ratings 2 reviews Brickset review
30435,30435:  Build Your Own Hogwarts Castle,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),$4.99,~€4.25,~€2.98,✭✭✭✭✩ 3.9 149 ratings
30628,30628:  Monster Book of Monsters,1 Nov 2020 - 31 Dec 2020 (1m 29d),$24.99,~€41.76,~€24.28,✭✭✭✭✩ 3.9 161 ratings
30651,30651:  Quidditch Practice,Año no disponible,PVP no disponible,~€3.66,~€3.62,✭✭✭✭✩ 3.7 127 ratings Brickset review
30677,30677:  Draco in the Forbidden Forest,1 Mar 2024 - 31 Dec 2024 (10m),PVP no disponible,~€3.54,~€3.53,✭✭✭✭✩ 3.6 61 ratings
30706,30706:  Quidditch Training,Año no disponible,PVP no disponible,Precio nuevo no disponible,Precio usado no disponible,
40028,40028:  Mini Hogwarts Express,Año no disponible,$4.99 | More,~€13.95,~€5.71,✭✭✭✭✩ 3.3 42 ratings 2 reviews
40289,40289:  Diagon Alley,15 Aug 2018 - 31 Dec 2018 (4m 16d),PVP no disponible,~€69.15,~€51.31,✭✭✭✭✩ 4.0 221 ratings 4 reviews Brickset review
40419,40419:  Hogwarts Students Accessory Set,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),"$14.99, €14.99 | More",~€13.48,~€8.32,✭✭✭✭✩ 3.7 198 ratings 2 reviews
40452,40452:  Hogwarts Gryffindor Dorms,25 Oct 2021 - 31 Dec 2021 (2m 6d),PVP no disponible,~€49.23,~€37.11,✭✭✭✭✩ 3.6 104 ratings Brickset review
