SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"30925","76394","1","2021","Normal","Harry Potter","Licensed","Characters","Fawkes, Dumbledore's Phoenix","X","76394-1","39.99","34.99","49.99","39.99","18/04/2021 00:00:00","25/11/2022 00:00:00","597","1","Box","Retail - limited","6342804","6342802","5702016971651","673419344883","28.2","26.2","5.9","","10","","9041","2328","2","12","X","0","68.6300","43.5400","Wes Talbott,","01/06/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"30926","76395","1","2021","Normal","Harry Potter","Licensed","Philosopher's Stone","Hogwarts: First Flying Lesson","X","76395-1","29.99","24.99","39.99","29.99","02/08/2021 00:00:00","31/10/2022 00:00:00","264","5","Box","Retail - limited","6347956","6347946","5702017006185","","35.4","19.1","5.9","","7","","7906","2545","2","14","X","5","36.0800","25.0000","","01/06/2021 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"31918","76396","1","2022","Normal","Harry Potter","Licensed","Hogwarts Moments","Hogwarts Moment: Divination Class","X","76396-1","29.99","24.99","39.99","29.99","01/03/2022 00:00:00","04/12/2022 00:00:00","297","3","Box","Retail","6378976","6378965","5702017152646","","19.1","26.2","6.1","","8","","8221","1591","2","7","X","0","26.1900","15.3600","","01/03/2022 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"31919","76397","1","2022","Normal","Harry Potter","Licensed","Hogwarts Moments","Hogwarts Moment: Defence Against the Dark Arts Class","X","76397-1","29.99","24.99","39.99","29.99","01/03/2022 00:00:00","28/11/2022 00:00:00","257","4","Box","Retail","6378977","6378966","5702017153384","","19.1","26.2","6.1","","8","","8401","1690","2","10","X","5","30.1100","22.7000","","01/03/2022 00:00:00","31/12/2022 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"31920","76398","1","2022","Normal","Harry Potter","Licensed","Prisoner of Azkaban","Hogwarts Hospital Wing","X","76398-1","49.99","44.99","64.99","49.99","01/03/2022 00:00:00","01/03/2024 00:00:00","510","4","Box","Retail","6378978","6378967","5702017153391","673419355476","38.2","26.2","5.7","","8","","8126","1954","2","7","X","0","52.7100","44.3500","Nick Vas,Woon Tze Chee,","01/03/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"31921","76399","1","2022","Normal","Harry Potter","Licensed","Miscellaneous","Hogwarts Magical Trunk","X","76399-1","64.99","59.99","84.99","64.99","01/03/2022 00:00:00","01/03/2024 00:00:00","603","1","Box","Retail","6378979","6378968","5702017153407","673419355483","38.2","26.2","5.7","","8","","5933","1862","2","10","X","0","43.9100","26.9700","","01/03/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"32374","76400","1","2022","Normal","Harry Potter","Licensed","Order of the Phoenix","Hogwarts Carriage and Thestrals","X","76400-1","19.99","17.99","24.99","19.99","20/06/2022 00:00:00","01/03/2024 00:00:00","121","2","Box","Retail","6378980","6378969","5702017153414","673419355490","26.2","14.1","4.8","","7","","8475","1513","2","7","X","5","15.9100","9.7000","","01/06/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"32375","76401","1","2022","Normal","Harry Potter","Licensed","Prisoner of Azkaban","Hogwarts Courtyard: Sirius's Rescue","X","76401-1","49.99","44.99","64.99","49.99","20/06/2022 00:00:00","01/03/2024 00:00:00","345","3","Box","Retail","6378981","6378970","5702017153421","673419355506","28.2","26.2","5.9","","8","","6177","1810","2","7","X","0","43.7800","30.2300","","01/06/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"32376","76402","1","2022","Normal","Harry Potter","Licensed","Chamber of Secrets","Hogwarts: Dumbledore's Office","X","76402-1","79.99","79.99","99.99","89.99","20/06/2022 00:00:00","26/10/2024 00:00:00","654","6","Box","Retail","6378982","6378971","5702017153438","673419355513","35.4","37.8","7.1","","8","","6714","2031","3","10","X","0","62.2300","58.5500","Nick Vas,","01/06/2022 00:00:00","31/12/2024 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"32377","76403","1","2022","Normal","Harry Potter","Licensed","Deathly Hallows","The Ministry of Magic","X","76403-1","99.99","89.99","129.99","99.99","20/06/2022 00:00:00","01/03/2024 00:00:00","990","10","Box","Retail","6378983","6378972","5702017153445","673419355520","48","37.8","7.1","","9","","6625","1937","2","13","X","8","65.2300","56.5600","Nick Vas,","01/06/2022 00:00:00","31/12/2023 00:00:00","","","0","0","0","0","0","","","","","","","","",""
