,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
48,4866,The Knight Bus,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),2011,34.99,72.193,27.764,✭✭✭✭✩ 3.8 190 ratings 10 reviews,106.32,-20.65
49,4867,Hogwarts,15 Jun 2011 - 31 Dec 2012 (1y 6m 17d),2011,49.99,81.64200000000001,41.635000000000005,✭✭✭✭✩ 4.1 165 ratings 11 reviews,63.32,-16.71
50,5378,Hogwarts Castle,1 Jun 2007 - 31 Dec 2007 (6m 30d),2007,89.99,478.038,282.821,✭✭✭✭✩ 4.2 45 ratings 10 reviews,431.21,214.28
51,10132,Motorised Hogwarts Express,6 Apr 2004 - 31 Dec 2005 (1y 8m 25d),2004,120.0,953.0290000000001,407.3960000000001,✭✭✭✭✭ 4.4 21 ratings 12 reviews,694.19,239.5
52,10217,Diagon Alley,1 Jan 2011 - 31 Dec 2012 (1y 11m 29d),2011,149.99,349.01900000000006,246.90600000000003,✭✭✭✭✭ 4.3 185 ratings 9 reviews,132.69,64.61
53,11923,Harry Potter: Build Your Own Adventure parts,Año no disponible,2019,,17.853,,✭✭✭✭✩ 3.7 38 ratings,,
54,30110,Trolley,1 Apr 2011 - 31 Dec 2011 (9m),2011,4.99,10.604000000000001,5.907000000000001,✭✭✭✭✩ 3.5 76 ratings 2 reviews,112.51,18.38
55,30111,The Lab,Año no disponible,2011,3.99,7.293,3.8170000000000006,✭✭✭✭✩ 3.3 103 ratings 8 reviews,82.78,-4.34
56,30392,Hermione's Study Desk,1 Aug 2021 - 31 Dec 2022 (1y 4m 30d),2021,,5.049,3.212,✭✭✭✭✩ 3.4 170 ratings,,
57,30407,Harry's Journey to Hogwarts,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,3.99,6.655,1.9360000000000002,✭✭✭✭✩ 3.9 384 ratings 6 reviews Brickset review,66.79,-51.48
58,30420,Harry Potter and Hedwig: Owl Delivery,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),2020,,5.06,2.475,✭✭✭✭✩ 3.5 207 ratings 2 reviews Brickset review,,
59,30435,Build Your Own Hogwarts Castle,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,4.99,4.675000000000001,3.278,✭✭✭✭✩ 3.9 149 ratings,-6.31,-34.31
60,30628,Monster Book of Monsters,1 Nov 2020 - 31 Dec 2020 (1m 29d),2020,24.99,45.936,26.708000000000002,✭✭✭✭✩ 3.9 161 ratings,83.82,6.87
61,30651,Quidditch Practice,Año no disponible,2023,,4.026000000000001,3.9820000000000007,✭✭✭✭✩ 3.7 127 ratings Brickset review,,
62,30677,Draco in the Forbidden Forest,1 Mar 2024 - 31 Dec 2024 (10m),2024,,3.8940000000000006,3.883,✭✭✭✭✩ 3.6 61 ratings,,
63,30706,Quidditch Training,Año no disponible,2025,,,,,,
64,40028,Mini Hogwarts Express,Año no disponible,2011,4.99,15.345,6.281000000000001,✭✭✭✭✩ 3.3 42 ratings 2 reviews,207.52,25.87
65,40289,Diagon Alley,15 Aug 2018 - 31 Dec 2018 (4m 16d),2018,,76.06500000000001,56.44100000000001,✭✭✭✭✩ 4.0 221 ratings 4 reviews Brickset review,,
66,40419,Hogwarts Students Accessory Set,1 Jun 2020 - 31 Dec 2021 (1y 6m 30d),2020,14.99,14.828000000000001,9.152000000000001,✭✭✭✭✩ 3.7 198 ratings 2 reviews,-1.08,-38.95
67,40452,Hogwarts Gryffindor Dorms,25 Oct 2021 - 31 Dec 2021 (2m 6d),2021,,54.153,40.821000000000005,✭✭✭✭✩ 3.6 104 ratings Brickset review,,
68,40500,Wizarding World Minifigure Accessory Set,1 Jun 2021 - 31 Dec 2021 (6m 30d),2021,14.99,22.726000000000003,15.257,✭✭✭✭✩ 3.9 83 ratings 1 review Brickset review,51.61,1.78
69,40577,Hogwarts: Grand Staircase,15 Jul 2022 - 31 Dec 2022 (5m 16d),2022,,59.092000000000006,50.38,✭✭✭✭✩ 4.0 90 ratings Brickset review,,
70,40598,Gringotts Vault,Año no disponible,2023,,50.523,38.269000000000005,✭✭✭✭✩ 3.8 70 ratings Brickset review,,
71,40695,Borgin and Burkes: Floo Network,Año no disponible,2024,,35.42000000000001,,✭✭✭✭✩ 4.0 27 ratings Brickset review,,
72,65524,Motorised Hogwarts Express super pack,Año no disponible,2004,,1284.4040000000002,,,,
73,71043,Hogwarts Castle,1 Sep 2018 - {t.b.a},2018,469.99,,,✭✭✭✭✭ 4.4 625 ratings 2 reviews Brickset review,,
