SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"24082","30274","1","2015","Normal","Star Wars","Licensed","Rebels","AT-DP","X","30274-1","","","","","","","65","","Polybag","Retail - limited","6102294","6102293","5702015357470","673419233798","17","19.5","0.8","","6","12","6486","1438","2","2","X","21","6.2600","2.5500","Niels M. Frederiksen,","01/01/2015 00:00:00","31/12/2015 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"24129","30275","1","2015","Normal","Star Wars","Licensed","Rebels","TIE Advanced Prototype","X","30275-1","","","","","","","47","","Polybag","Promotional","6102296","6102295","","673419233811","17","19.5","0.8","","6","12","6213","1186","2","0","X","21","5.7800","2.2900","Niels M. Frederiksen,","01/01/2015 00:00:00","31/12/2015 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"24844","30276","1","2015","Normal","Star Wars","Licensed","Episode VII","First Order Special Forces TIE Fighter","X","30276-1","3.99","","","","","","41","","Polybag","Retail - limited","6114443","6114435","","673419238175","17","19.5","0.8","","6","12","6894","1208","2","0","X","24","7.1000","3.7200","","04/09/2015 00:00:00","31/12/2015 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"25906","30277","1","2016","Normal","Star Wars","Licensed","Episode VII","First Order Star Destroyer","X","30277-1","","","","","","","56","","Polybag","Retail","6138468","6138466","5702015608589","673419251181","17","19.5","0.9","","6","12","3446","1395","2","0","X","15","7.5600","3.2900","","01/01/2016 00:00:00","31/12/2016 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"25599","30278","1","2016","Normal","Star Wars","Licensed","Episode VII","Poe's X-wing Fighter","X","30278-1","3.99","3.99","","4.99","","","64","","Polybag","Retail - limited","6138472","6138470","5702015608596","673419251198","17","19.5","0.7","","6","12","9732","1448","2","1","X","16","6.6200","3.5900","","01/01/2016 00:00:00","31/12/2016 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"25850","30279","1","2016","Normal","Star Wars","Licensed","Episode VII","Kylo Ren's Command Shuttle","X","30279-1","","","","","","","43","","Polybag","Promotional","6138476","6138474","5702015608602","673419251204","17","19.5","0.8","","6","12","5780","1204","2","0","X","11","5.2100","1.9600","","01/01/2016 00:00:00","31/12/2016 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"27668","30380","1","2018","Normal","Star Wars","Licensed","Episode VIII","Kylo Ren's Shuttle","X","30380-1","","","","","","","33","","Polybag","{Not specified}","6214574","6214573","5702016122077","","17","17","0.8","0.029","6","12","4486","948","2","0","X","20","5.4700","2.0000","Henrik Andersen,","01/01/2018 00:00:00","31/12/2018 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"28012","30381","1","2018","Normal","Star Wars","Licensed","Solo","Imperial TIE Fighter","X","30381-1","","","","","","","42","","Polybag","{Not specified}","6214577","6214576","5702016122084","673419285650","17","17","1","","","","3578","998","2","0","X","14","6.0200","3.2200","Henrik Andersen,","20/04/2018 00:00:00","31/12/2019 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"29136","30383","1","2019","Normal","Star Wars","Licensed","Episode I","Naboo Starfighter","X","30383-1","","","","","","","48","","Polybag","{Not specified}","6254013","6254012","5702016376166","","17","17","1","","","","5249","1060","2","1","X","18","6.8800","3.0100","Henrik Andersen,","01/04/2019 00:00:00","31/12/2020 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"29164","30384","1","2019","Normal","Star Wars","Licensed","Episode V","Snowspeeder","X","30384-1","","","","","","","49","","Polybag","Retail","6254020","6254019","5702016376777","673419306041","17","17","1.1","","6","","6671","1137","2","0","X","20","5.7200","3.3500","Henrik Andersen,","01/04/2019 00:00:00","31/12/2020 00:00:00","","","0","0","0","0","0","","","","","","","","",""
